"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 14:07:08 GMT 2025","Tue Oct 21 14:07:08 GMT 2025","4","","com.example.InfoTest","","com.example.InfoTest","test2","test2()",""
"passed","Tue Oct 21 14:07:08 GMT 2025","Tue Oct 21 14:07:08 GMT 2025","3","","com.example.InfoTest","","com.example.InfoTest","test3","test3()",""
"passed","Tue Oct 21 14:07:08 GMT 2025","Tue Oct 21 14:07:08 GMT 2025","86","","com.example.InfoTest","","com.example.InfoTest","test1","test1()",""
