"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 10:07:00 GMT 2025","Tue Oct 14 10:07:00 GMT 2025","57","","com.example.InfoTest","","com.example.InfoTest","test1","test1()",""
"passed","Tue Oct 14 10:07:14 GMT 2025","Tue Oct 14 10:07:14 GMT 2025","889","","com.example.PlaywrightTest","","com.example.PlaywrightTest","homepageHasPlaywrightInTitle","homepageHasPlaywrightInTitle()",""
"passed","Tue Oct 14 10:07:00 GMT 2025","Tue Oct 14 10:07:00 GMT 2025","3","","com.example.InfoTest","","com.example.InfoTest","test2","test2()",""
"passed","Tue Oct 14 10:07:00 GMT 2025","Tue Oct 14 10:07:00 GMT 2025","1","","com.example.InfoTest","","com.example.InfoTest","test3","test3()",""
