"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 14 12:12:39 GMT 2025","Tue Oct 14 12:12:39 GMT 2025","1","","com.example.InfoTest","","com.example.InfoTest","test3","test3()",""
"passed","Tue Oct 14 12:12:39 GMT 2025","Tue Oct 14 12:12:39 GMT 2025","1","","com.example.InfoTest","","com.example.InfoTest","test2","test2()",""
"passed","Tue Oct 14 12:12:57 GMT 2025","Tue Oct 14 12:12:57 GMT 2025","418","","com.example.PlaywrightTest","","com.example.PlaywrightTest","homepageHasPlaywrightInTitle","homepageHasPlaywrightInTitle()",""
"passed","Tue Oct 14 12:12:39 GMT 2025","Tue Oct 14 12:12:39 GMT 2025","33","","com.example.InfoTest","","com.example.InfoTest","test1","test1()",""
