"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 18:02:39 GMT 2025","Fri Oct 17 18:02:39 GMT 2025","3","","com.example.InfoTest","","com.example.InfoTest","test3","test3()",""
"passed","Fri Oct 17 18:02:39 GMT 2025","Fri Oct 17 18:02:39 GMT 2025","3","","com.example.InfoTest","","com.example.InfoTest","test2","test2()",""
"passed","Fri Oct 17 18:02:38 GMT 2025","Fri Oct 17 18:02:38 GMT 2025","59","","com.example.InfoTest","","com.example.InfoTest","test1","test1()",""
"passed","Fri Oct 17 18:02:57 GMT 2025","Fri Oct 17 18:02:57 GMT 2025","692","","com.example.PlaywrightTest","","com.example.PlaywrightTest","homepageHasPlaywrightInTitle","homepageHasPlaywrightInTitle()",""
