"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 11:51:36 GMT 2025","Thu Oct 23 11:51:36 GMT 2025","2","","Linux","","com.example.InfoTest","test3","test3() [Linux] [Linux]",""
"passed","Thu Oct 23 11:51:36 GMT 2025","Thu Oct 23 11:51:36 GMT 2025","35","","Linux","","com.example.InfoTest","test1","test1() [Linux] [Linux]",""
"passed","Thu Oct 23 11:51:36 GMT 2025","Thu Oct 23 11:51:36 GMT 2025","2","","Linux","","com.example.InfoTest","test2","test2() [Linux] [Linux]",""
