"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 17:58:39 GMT 2025","Fri Oct 17 17:58:39 GMT 2025","527","","com.example.PlaywrightTest","","com.example.PlaywrightTest","homepageHasPlaywrightInTitle","homepageHasPlaywrightInTitle()",""
"passed","Fri Oct 17 17:58:17 GMT 2025","Fri Oct 17 17:58:17 GMT 2025","4","","com.example.InfoTest","","com.example.InfoTest","test2","test2()",""
"passed","Fri Oct 17 17:58:17 GMT 2025","Fri Oct 17 17:58:17 GMT 2025","2","","com.example.InfoTest","","com.example.InfoTest","test3","test3()",""
"passed","Fri Oct 17 17:58:17 GMT 2025","Fri Oct 17 17:58:17 GMT 2025","58","","com.example.InfoTest","","com.example.InfoTest","test1","test1()",""
